iter	Passed	Remaining
0	0	340
1	1	834
2	2	696
3	2	608
4	2	559
5	3	508
6	3	475
7	3	449
8	3	429
9	4	419
10	4	403
11	4	390
12	4	379
13	5	369
14	5	360
15	5	356
16	6	351
17	6	347
18	6	341
19	6	335
20	7	331
21	7	327
22	7	325
23	8	328
24	8	324
25	8	322
26	8	320
27	9	319
28	9	317
29	9	315
30	10	312
31	10	310
32	10	308
33	10	305
34	11	303
35	11	301
36	11	300
37	11	298
38	12	297
39	12	296
40	12	294
41	12	294
42	13	308
43	14	307
44	14	305
45	14	304
46	14	302
47	15	301
48	15	300
49	15	299
50	16	299
51	16	298
52	16	296
53	16	295
54	17	295
55	17	293
56	17	292
57	17	291
58	18	290
59	18	288
60	18	287
61	18	286
62	19	284
63	19	283
64	19	282
65	19	281
66	20	280
67	20	279
68	20	278
69	20	277
70	21	276
71	21	276
72	21	276
73	22	275
74	23	284
75	23	284
76	23	285
77	24	285
78	24	286
79	24	286
80	25	286
81	25	286
82	25	285
83	26	285
84	26	284
85	26	284
86	27	284
87	27	283
88	27	284
89	28	283
90	28	282
91	28	281
92	28	280
93	29	280
94	29	280
95	29	279
96	29	278
97	30	277
98	30	276
99	30	276
100	30	275
101	31	274
102	31	273
103	31	272
104	31	271
105	32	270
106	32	270
107	32	269
108	32	268
109	33	268
110	33	267
111	33	266
112	34	269
113	34	268
114	34	267
115	35	267
116	35	266
117	35	265
118	35	264
119	35	263
120	36	263
121	36	262
122	36	261
123	36	260
124	37	261
125	37	261
126	37	260
127	38	260
128	38	259
129	38	259
130	39	258
131	39	258
132	39	257
133	40	264
134	41	264
135	41	264
136	41	263
137	42	263
138	42	262
139	42	262
140	42	261
141	43	260
142	43	260
143	43	259
144	43	259
145	44	258
146	44	258
147	44	257
148	45	258
149	45	258
150	45	257
151	46	257
152	46	256
153	46	255
154	46	255
155	47	254
156	47	253
157	47	253
158	47	252
159	47	251
160	48	251
161	48	250
162	48	249
163	48	249
164	49	248
165	49	247
166	49	246
167	49	246
168	49	245
169	50	248
170	51	248
171	51	247
172	51	246
173	51	246
174	52	245
175	52	245
176	52	244
